latitude,longitude,number,time,step,isobaricInhPa,valid_time,t,u,v,vo,w_mps
60.0,-65.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.05818,17.06932,10.059082,9.458046e-06,0.0022116174514709903
60.0,-65.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.07137,17.08104,10.137207,7.6103024e-06,0.001771399670230995
60.0,-65.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.11482,17.061508,10.20752,6.3437037e-06,-0.0009509356019097388
60.0,-64.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.18367,16.97557,10.293457,5.8668666e-06,-0.003955104700491214
60.0,-64.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.26472,16.821274,10.418457,6.388407e-06,-0.004357196616691768
60.0,-64.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.34236,16.63768,10.594238,8.102041e-06,-0.0017535020011774695
60.0,-64.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.40926,16.47557,10.83252,1.0933261e-05,0.0011325989289660662
60.0,-63.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.46199,16.366196,11.129395,1.4628749e-05,0.0010526622318984091
60.0,-63.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.4991,16.301743,11.473145,1.8666964e-05,-0.002155807591883528
60.0,-63.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.51668,16.26268,11.848145,2.2377353e-05,-0.005605538368035465
60.0,-63.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.51033,16.249008,12.230957,2.516387e-05,-0.0063273610114385126
60.0,-62.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.48152,16.28807,12.602051,2.6653986e-05,-0.00428119883504447
60.0,-62.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.44148,16.403305,12.945801,2.68328e-05,-0.0021552543070799965
60.0,-62.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.40535,16.590805,13.262207,2.5968533e-05,-0.0023152725595900177
60.0,-62.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.38484,16.823227,13.547363,2.4582725e-05,-0.0046000562224455446
60.0,-61.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.38094,17.071274,13.812988,2.3271423e-05,-0.006925018149412271
60.0,-61.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.38777,17.317368,14.070801,2.2526365e-05,-0.007646816259039909
60.0,-61.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.39754,17.557602,14.328613,2.2541266e-05,-0.006885440633675905
60.0,-61.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.40291,17.797836,14.602051,2.3137312e-05,-0.005722970567406944
60.0,-60.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.40193,18.040024,14.887207,2.386747e-05,-0.004921131838155293
60.0,-60.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.3946,18.291977,15.172363,2.4239998e-05,-0.004319630597029914
60.0,-60.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.38338,18.555649,15.441895,2.3763161e-05,-0.003517667012043189
60.0,-60.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.37459,18.827133,15.67627,2.2183638e-05,-0.002795984745718525
60.0,-59.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.37459,19.092758,15.871582,1.9605737e-05,-0.0026356415344945235
60.0,-59.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.38875,19.329086,16.031738,1.6446691e-05,-0.003197044610805774
60.0,-59.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.41707,19.510727,16.156738,1.3317447e-05,-0.0038790357718069216
60.0,-59.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.45418,19.627914,16.262207,1.0739546e-05,-0.003999977279617341
60.0,-58.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.4908,19.678696,16.359863,9.025913e-06,-0.0033589248349486164
60.0,-58.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.51814,19.67479,16.469238,8.370262e-06,-0.0020356560600931816
